feature,1,2,3,4,5,6,7,8,9
1,6,7,12,7,6,7,9,8,8
2,8,9,15,9,7,9,10,10,10
3,4344,4887,8630,4887,3801,4887,5430,5430,5430
4,3258,3801,6516,3801,3258,3801,4887,4344,4344
5,472.41,461.55,396.97,461.55,477.84,461.55,445.26,450.69,450.69
6,401.82,380.1,250.94,380.1,412.68,380.1,347.52,358.38,358.38
7,331.23,298.65,104.91,298.65,347.52,298.65,249.78,266.07,266.07
8,260.64,217.2,-41.12,217.2,282.36,217.2,152.04,173.76,173.76
9,190.05,135.75,-187.15,135.75,217.2,135.75,54.3,81.45,81.45
10,119.46,54.3,-333.18,54.3,152.04,54.3,-43.44,-10.86,-10.86
11,48.87,-27.15,-479.21,-27.15,86.88,-27.15,-141.18,-103.17,-103.17
12,-21.72,-108.6,-625.24,-108.6,21.72,-108.6,-238.92,-195.48,-195.48
13,-92.31,-190.05,-771.27,-190.05,-43.44,-190.05,-336.66,-287.79,-287.79
14,-162.9,-271.5,-917.3,-271.5,-108.6,-271.5,-434.4,-380.1,-380.1
15,-233.49,-352.95,-1063.33,-352.95,-173.76,-352.95,-532.14,-472.41,-472.41
16,-304.08,-434.4,-962.64,-434.4,-238.92,-434.4,-456.12,-521.28,-564.72
17,-374.67,-515.85,-816.61,-515.85,-304.08,-515.85,-358.38,-428.97,-657.03
18,-445.26,-488.7,-670.58,-488.7,-369.24,-488.7,-260.64,-336.66,-749.34
19,-515.85,-407.25,-561.45,-407.25,-434.4,-407.25,-162.9,-244.35,-841.65
20,-499.56,-325.8,-707.48,-325.8,-499.56,-325.8,-65.16,-152.04,-933.96
21,-428.97,-244.35,-853.51,-244.35,-564.72,-244.35,-32.58,-59.73,-1026.27
22,-358.38,-162.9,-999.54,-162.9,-629.88,-162.9,-130.32,-32.58,-1053.42
23,-287.79,-81.45,-1026.43,-81.45,-695.04,-81.45,-228.06,-124.89,-961.11
24,-217.2,0.0,-880.4,0.0,-760.2,0.0,-325.8,-217.2,-868.8
25,-146.61,-81.45,-734.37,-81.45,-825.36,-81.45,-423.54,-309.51,-776.49
26,-76.02,-162.9,-588.34,-162.9,-890.52,-162.9,-521.28,-401.82,-684.18
27,-5.43,-244.35,-643.69,-244.35,-955.68,-244.35,-466.98,-494.13,-591.87
28,-65.16,-325.8,-789.72,-325.8,-1020.84,-325.8,-369.24,-499.56,-586.44
29,-135.75,-407.25,-935.75,-407.25,-1086.0,-407.25,-271.5,-407.25,-678.75
30,-206.34,-488.7,-1081.78,-488.7,-1020.84,-488.7,-173.76,-314.94,-771.06
31,-276.93,-515.85,-944.19,-515.85,-955.68,-515.85,-76.02,-222.63,-863.37
32,-347.52,-434.4,-798.16,-434.4,-890.52,-434.4,-21.72,-130.32,-955.68
33,-418.11,-352.95,-652.13,-352.95,-825.36,-352.95,-119.46,-38.01,-1047.99
34,-488.7,-271.5,-579.9,-271.5,-760.2,-271.5,-217.2,-54.3,-1031.7
35,-526.71,-190.05,-725.93,-190.05,-695.04,-190.05,-314.94,-146.61,-939.39
36,-456.12,-108.6,-871.96,-108.6,-629.88,-108.6,-412.68,-238.92,-847.08
37,-385.53,-27.15,-1017.99,-27.15,-564.72,-27.15,-510.42,-331.23,-754.77
38,-314.94,-54.3,-1007.98,-54.3,-586.44,-54.3,-608.16,-423.54,-662.46
39,-244.35,-135.75,-861.95,-135.75,-651.6,-135.75,-705.9,-515.85,-570.15
40,-173.76,-217.2,-715.92,-217.2,-716.76,-217.2,-803.64,-608.16,-477.84
41,-103.17,-298.65,-569.89,-298.65,-781.92,-298.65,-901.38,-700.47,-385.53
42,-32.58,-380.1,-662.14,-380.1,-847.08,-380.1,-999.12,-792.78,-293.22
43,-38.01,-461.55,-808.17,-461.55,-912.24,-461.55,-1075.14,-885.09,-200.91
44,-108.6,-543.0,-954.2,-543.0,-977.4,-543.0,-977.4,-977.4,-108.6
45,-179.19,-624.45,-1071.77,-624.45,-1042.56,-624.45,-879.66,-1069.71,-16.29
46,-249.78,-705.9,-925.74,-705.9,-1064.28,-705.9,-781.92,-1009.98,-76.02
47,-320.37,-787.35,-779.71,-787.35,-999.12,-787.35,-684.18,-917.67,-168.33
48,-390.96,-868.8,-633.68,-868.8,-933.96,-868.8,-586.44,-825.36,-260.64
49,-461.55,-950.25,-598.35,-950.25,-868.8,-950.25,-597.3,-733.05,-352.95
50,-532.14,-1031.7,-744.38,-1031.7,-803.64,-1031.7,-695.04,-640.74,-445.26
51,-483.27,-1058.85,-890.41,-1058.85,-738.48,-1058.85,-792.78,-548.43,-537.57
52,-412.68,-977.4,-1036.44,-977.4,-673.32,-977.4,-890.52,-629.88,-456.12
53,-342.09,-895.95,-989.53,-895.95,-608.16,-895.95,-988.26,-722.19,-363.81
54,-271.5,-814.5,-843.5,-814.5,-543.0,-814.5,-1086.0,-814.5,-271.5
55,-200.91,-733.05,-697.47,-733.05,-608.16,-733.05,-988.26,-906.81,-179.19
56,-130.32,-651.6,-551.44,-651.6,-673.32,-651.6,-890.52,-999.12,-86.88
57,-59.73,-570.15,-680.59,-570.15,-738.48,-570.15,-792.78,-1080.57,-5.43
58,-10.86,-597.3,-826.62,-597.3,-803.64,-597.3,-695.04,-988.26,-97.74
59,-81.45,-678.75,-972.65,-678.75,-868.8,-678.75,-597.3,-895.95,-190.05
60,-152.04,-760.2,-1118.68,-760.2,-933.96,-760.2,-586.44,-803.64,-282.36
61,-222.63,-841.65,-1264.71,-841.65,-999.12,-841.65,-684.18,-711.33,-374.67
62,-293.22,-923.1,-1410.74,-923.1,-1064.28,-923.1,-781.92,-619.02,-466.98
63,-363.81,-1004.55,-1556.77,-1004.55,-1042.56,-1004.55,-879.66,-559.29,-559.29
64,-434.4,-1086.0,-1702.8,-1086.0,-977.4,-1086.0,-977.4,-651.6,-651.6
65,-504.99,-1004.55,-1848.83,-1004.55,-912.24,-1004.55,-1075.14,-743.91,-743.91
66,-510.42,-923.1,-1994.86,-923.1,-847.08,-923.1,-999.12,-836.22,-836.22
67,-439.83,-841.65,-2140.89,-841.65,-781.92,-841.65,-901.38,-928.53,-928.53
68,-369.24,-760.2,-2286.92,-760.2,-716.76,-760.2,-803.64,-1020.84,-1020.84
69,-298.65,-678.75,-2432.95,-678.75,-651.6,-678.75,-705.9,-1058.85,-1058.85
70,-228.06,-597.3,-2578.98,-597.3,-586.44,-597.3,-608.16,-966.54,-966.54
71,-157.47,-570.15,-2588.99,-570.15,-521.28,-570.15,-575.58,-874.23,-874.23
72,-86.88,-651.6,-2442.96,-651.6,-456.12,-651.6,-673.32,-781.92,-781.92
73,-16.29,-733.05,-2296.93,-733.05,-390.96,-733.05,-771.06,-689.61,-689.61
74,-54.3,-814.5,-2150.9,-814.5,-325.8,-814.5,-868.8,-597.3,-597.3
75,-124.89,-895.95,-2223.13,-895.95,-260.64,-895.95,-966.54,-581.01,-581.01
76,-195.48,-977.4,-2369.16,-977.4,-195.48,-977.4,-1064.28,-673.32,-673.32
77,-266.07,-1058.85,-2515.19,-1058.85,-130.32,-1058.85,-1009.98,-765.63,-765.63
78,-336.66,-1031.7,-2652.78,-1031.7,-65.16,-1031.7,-912.24,-857.94,-857.94
79,-407.25,-950.25,-2506.75,-950.25,0.0,-950.25,-814.5,-950.25,-950.25
80,-477.84,-868.8,-2360.72,-868.8,-65.16,-868.8,-716.76,-1042.56,-1042.56
81,-548.43,-787.35,-2214.69,-787.35,-130.32,-787.35,-619.02,-1037.13,-1037.13
82,-619.02,-705.9,-2159.34,-705.9,-195.48,-705.9,-564.72,-944.82,-944.82
83,-689.61,-624.45,-2305.37,-624.45,-260.64,-624.45,-662.46,-852.51,-852.51
84,-760.2,-543.0,-2451.4,-543.0,-325.8,-543.0,-760.2,-760.2,-760.2
85,-830.79,-624.45,-2597.43,-624.45,-390.96,-624.45,-857.94,-667.89,-667.89
86,-901.38,-705.9,-2570.54,-705.9,-456.12,-705.9,-955.68,-575.58,-575.58
87,-971.97,-787.35,-2424.51,-787.35,-521.28,-787.35,-1053.42,-602.73,-602.73
88,-1042.56,-868.8,-2278.48,-868.8,-586.44,-868.8,-1151.16,-695.04,-695.04
89,-1113.15,-950.25,-2132.45,-950.25,-651.6,-950.25,-1248.9,-787.35,-787.35
90,-1183.74,-1031.7,-2241.58,-1031.7,-716.76,-1031.7,-1346.64,-879.66,-879.66
91,-1254.33,-1113.15,-2387.61,-1113.15,-781.92,-1113.15,-1444.38,-971.97,-971.97
92,-1324.92,-1194.6,-2533.64,-1194.6,-847.08,-1194.6,-1542.12,-1064.28,-1064.28
93,-1395.51,-1276.05,-2679.67,-1276.05,-912.24,-1276.05,-1618.14,-1156.59,-1015.41
94,-1466.1,-1357.5,-2825.7,-1357.5,-977.4,-1357.5,-1520.4,-1248.9,-923.1
95,-1536.69,-1438.95,-2971.73,-1438.95,-1042.56,-1438.95,-1422.66,-1341.21,-830.79
96,-1607.28,-1520.4,-3117.76,-1520.4,-1064.28,-1520.4,-1324.92,-1433.52,-738.48
97,-1580.13,-1601.85,-3136.21,-1601.85,-999.12,-1601.85,-1227.18,-1525.83,-646.17
98,-1509.54,-1574.7,-2990.18,-1574.7,-933.96,-1574.7,-1129.44,-1618.14,-553.86
99,-1438.95,-1493.25,-2844.15,-1493.25,-868.8,-1493.25,-1031.7,-1547.55,-624.45
100,-1368.36,-1411.8,-2698.12,-1411.8,-803.64,-1411.8,-933.96,-1455.24,-716.76
