feature,1,2,3,4,5,6,7,8,9
1,9,7,8,9,12,7,7,6,8
2,10,9,10,10,15,9,9,7,10
3,5430,4887,5430,5430,8630,4887,4887,3801,5430
4,4887,3801,4344,4887,6516,3801,3801,3258,4344
5,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
6,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
7,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
8,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
9,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0
10,653.816326531,543.0,543.0,653.816326531,702.12244898,543.0,543.0,543.0,587.326530612
11,853.285714286,620.571428571,543.0,853.285714286,1000.14285714,620.571428571,620.571428571,543.0,775.714285714
12,1052.75510204,786.795918367,543.0,1052.75510204,1086.0,786.795918367,786.795918367,543.0,964.102040816
13,1086.0,953.020408163,609.489795918,1086.0,1086.0,953.020408163,953.020408163,543.0,1086.0
14,1086.0,1086.0,797.87755102,1086.0,1351.20408163,1086.0,1086.0,543.0,1086.0
15,1108.16326531,1086.0,986.265306122,1108.16326531,1629.0,1086.0,1086.0,543.0,1086.0
16,1307.63265306,1086.0,1086.0,1307.63265306,1629.0,1086.0,1086.0,543.0,1174.65306122
17,1507.10204082,1086.0,1086.0,1507.10204082,1702.26530612,1086.0,1086.0,642.734693878,1363.04081633
18,1629.0,1241.14285714,1086.0,1629.0,2000.28571429,1241.14285714,1241.14285714,775.714285714,1551.42857143
19,1629.0,1407.36734694,1196.81632653,1629.0,2172.0,1407.36734694,1407.36734694,908.693877551,1629.0
20,1629.0,1573.59183673,1385.20408163,1629.0,2172.0,1573.59183673,1573.59183673,1041.67346939,1629.0
21,1629.0,1629.0,1573.59183673,1761.97959184,2351.34693878,1629.0,1629.0,1086.0,1629.0
22,1629.0,1629.0,1761.97959184,1961.44897959,2649.36734694,1629.0,1629.0,1086.0,1629.0
23,1629.0,1629.0,1950.36734694,2160.91836735,2715.0,1629.0,1629.0,1086.0,1629.0
24,1817.3877551,1629.0,2138.75510204,2172.0,2715.0,1629.0,1629.0,1086.0,1629.0
25,2016.85714286,1629.0,2172.0,2172.0,3000.42857143,1629.0,1629.0,1163.57142857,1784.14285714
26,2172.0,1629.0,2172.0,2172.0,3258.0,1629.0,1629.0,1296.55102041,1972.53061224
27,2172.0,1651.16326531,2172.0,2172.0,3258.0,1651.16326531,1651.16326531,1429.53061224,2160.91836735
28,2172.0,1817.3877551,2349.30612245,2172.0,3351.48979592,1817.3877551,1817.3877551,1562.51020408,2172.0
29,2271.73469388,1983.6122449,2537.69387755,2271.73469388,3649.51020408,1983.6122449,1983.6122449,1629.0,2172.0
30,2471.20408163,2149.83673469,2715.0,2471.20408163,3801.0,2149.83673469,2149.83673469,1629.0,2183.08163265
31,2670.67346939,2172.0,2715.0,2670.67346939,3801.0,2172.0,2172.0,1629.0,2371.46938776
32,2715.0,2172.0,2715.0,2715.0,3801.0,2172.0,2172.0,1629.0,2559.85714286
33,2715.0,2172.0,2715.0,2715.0,3801.0,2172.0,2172.0,1684.40816327,2715.0
34,2726.08163265,2271.73469388,2715.0,2726.08163265,3801.0,2271.73469388,2271.73469388,1817.3877551,2715.0
35,2925.55102041,2437.95918367,2715.0,2925.55102041,3801.0,2437.95918367,2437.95918367,1950.36734694,2715.0
36,3125.02040816,2604.18367347,2770.40816327,3125.02040816,3801.0,2604.18367347,2604.18367347,2083.34693878,2770.40816327
37,3258.0,2715.0,2958.79591837,3258.0,3919.67346939,2715.0,2715.0,2216.32653061,2958.79591837
38,3258.0,2715.0,3147.18367347,3258.0,4217.69387755,2715.0,2715.0,2349.30612245,3147.18367347
